Name of Product,Is Accepted Policy,agree value,StemmedText
Ultra-Thin Gaming Laptop with RGB Backlit Keyboard and High Refresh Rate Display,Yes,1,ultra-thin game laptop with rgb backlit keyboard and high refresh rate display
Deluxe Espresso Machine with Integrated Milk Frother and Multiple Brewing Options,Yes,1,delux espresso machin with integr milk frother and multipl brew option
Advanced Running Shoes with Responsive Cushioning for Optimal Performance,Yes,1,advanc run shoe with respons cushion for optim perform
Latest iPhone Pro Max with Triple-Camera System and 5G Connectivity,Yes,1,latest iphon pro max with triple-camera system and 5g connect
Next-Gen Gaming Console with 4K Graphics and Exclusive Game Titles,Yes,1,next-gen game consol with 4k graphic and exclus game titl
Captivating Romantic Novel Set in the Enchanting City of Venice,No,0,captiv romant novel set in the enchant citi of venic
Realistic Toy Sniper Rifle for Outdoor Shooting Activities,No,0,realist toy sniper rifl for outdoor shoot activ
Breathtaking Action Movie Marathon in 4K Ultra HD with Surround Sound,Yes,1,breathtak action movi marathon in 4k ultra hd with surround sound
Organic Herbal Infusion Collection for Relaxation and Natural Wellness,No,0,organ herbal infus collect for relax and natur well
Smart Fitness Tracker with ECG and Blood Oxygen Monitoring,Yes,1,smart fit tracker with ecg and blood oxygen monitor
Ergonomic Office Chair with Adjustable Headrest and Lumbar Support,Yes,1,ergonom offic chair with adjust headrest and lumbar support
Interactive Adult Board Game for Unforgettable Game Nights,No,0,interact adult board game for unforgett game night
Professional Paintball Gun Kit with Tactical Accessories,No,0,profession paintbal gun kit with tactic accessori
Bestselling Adventure Book Series Set in Mystical Lands,Yes,1,bestsel adventur book seri set in mystic land
Revitalizing Organic Energy Drink Variety Pack,No,0,revit organ energi drink varieti pack
Latest Smartphone with Foldable Display and AI-Powered Camera,Yes,1,latest smartphon with foldabl display and ai-pow camera
Premium Cooking Utensils Set for Culinary Enthusiasts,Yes,1,premium cook utensil set for culinari enthusiast
Master Series Violin for Experienced Players with Handcrafted Details,Yes,1,master seri violin for experienc player with handcraft detail
Provocative Art Print for Modern Home Decor,No,0,provoc art print for modern home decor
Immersive Virtual Reality Headset with Haptic Feedback,Yes,1,immers virtual realiti headset with haptic feedback
Top-Performance Running Shoes for Trail Running and Marathon Training,Yes,1,top-perform run shoe for trail run and marathon train
Educational Musical Instrument Set for Kids with Online Tutorials,Yes,1,educ music instrument set for kid with onlin tutori
High-Quality Outdoor Survival Knife for Adventurous Souls,No,0,high-qual outdoor surviv knife for adventur soul
Sci-Fi Movie Collection with Cult Classics and Contemporary Hits,Yes,1,sci-fi movi collect with cult classic and contemporari hit
Organic Herbal Supplement Capsules for Holistic Well-Being,No,0,organ herbal supplement capsul for holist well-b
Photography Book with Expert Insights and Inspirational Images,Yes,1,photographi book with expert insight and inspir imag
Smart Thermostat with Voice Control for Smart Home Integration,Yes,1,smart thermostat with voic control for smart home integr
Comprehensive Home Gym Equipment Set for Total Body Fitness,Yes,1,comprehens home gym equip set for total bodi fit
Strategic Board Game for Family Bonding and Tactical Fun,Yes,1,strateg board game for famili bond and tactic fun
Non-Violent Video Game Collection for Gaming Enthusiasts,Yes,1,non-viol video game collect for game enthusiast
Luxurious Yoga Mat with Eco-Friendly Materials and Premium Cushioning,Yes,1,luxuri yoga mat with eco-friendli materi and premium cushion
Urban Street Art Print for Trendy Interior Decor,Yes,1,urban street art print for trendi interior decor
Karaoke Machine with Wireless Microphones and LED Light Show,Yes,1,karaok machin with wireless microphon and led light show
High-Performance Mountain Bike for Off-Road Adventures,Yes,1,high-perform mountain bike for off-road adventur
Creative Cooking Torch for Culinary Artistry,No,0,creativ cook torch for culinari artistri
Complete Classical Violin Sonata Sheet Music Book for Aspiring Musicians,Yes,1,complet classic violin sonata sheet music book for aspir musician
Premium Guitar Pick Set for Precision Playing and Versatility,Yes,1,premium guitar pick set for precis play and versatil
Therapeutic Stress Ball for Relaxation and Anxiety Relief,Yes,1,therapeut stress ball for relax and anxieti relief
Educational Chemistry Set for Kids with Safe and Fun Experiments,Yes,1,educ chemistri set for kid with safe and fun experi
Elegant Wine Glasses Set for Sophisticated Wine Tasting,Yes,1,eleg wine glass set for sophist wine tast
Classical Violin Concerto CD Collection for Music Connoisseurs,Yes,1,classic violin concerto cd collect for music connoisseur
High-Powered Telescope for Astronomical Observations,Yes,1,high-pow telescop for astronom observ
Efficient Juicer for Fresh and Nutrient-Rich Juices,Yes,1,effici juicer for fresh and nutrient-rich juic
Japanese Origami Kit with Exquisite Paper and Step-by-Step Guide,Yes,1,japanes origami kit with exquisit paper and step-by-step guid
Craft Beer Making Kit for Homebrewing Adventures,No,0,craft beer make kit for homebrew adventur
Classic Literature Book Collection with Timeless Masterpieces,Yes,1,classic literatur book collect with timeless masterpiec
Challenging Puzzle Game for Mental Stimulation and Entertainment,Yes,1,challeng puzzl game for mental stimul and entertain
Advanced Home Security System with Smart Surveillance Features,Yes,1,advanc home secur system with smart surveil featur
Artistic Adult Coloring Book for Creative Expression,No,0,artist adult color book for creativ express
Professional Dumbbell Set for Strength Training and Muscle Building,Yes,1,profession dumbbel set for strength train and muscl build
Gourmet Cookbook with Culinary Masterpieces and Exclusive Recipes,Yes,1,gourmet cookbook with culinari masterpiec and exclus recip
Interactive Virtual Cooking Class for Culinary Enthusiasts,Yes,1,interact virtual cook class for culinari enthusiast
Contemporary Glass Art Sculpture for Elegant Home Interiors,Yes,1,contemporari glass art sculptur for eleg home interior
Artistic Ceramic Pottery Kit for Creative Art Projects,Yes,1,artist ceram potteri kit for creativ art project
Captivating Violent Crime Novel Series for Mystery Aficionados,Yes,1,captiv violent crime novel seri for mysteri aficionado
High-Powered Binoculars for Bird Watching Enthusiasts,Yes,1,high-pow binocular for bird watch enthusiast
DIY Candle Making Kit for Personalized Aromatherapy,No,0,diy candl make kit for person aromatherapi
Guided Botanical Garden Tour Experience for Nature Lovers,Yes,1,guid botan garden tour experi for natur lover
Precision Archery Set for Target Practice and Skill Enhancement,Yes,1,precis archeri set for target practic and skill enhanc
Travel Photography Book with Awe-Inspiring Images and Travel Tips,Yes,1,travel photographi book with awe-inspir imag and travel tip
Soothing Nature Sounds CD for Relaxation and Stress Relief,Yes,1,sooth natur sound cd for relax and stress relief
Spacious Camping Tent for Outdoor Exploration and Camping Adventures,Yes,1,spaciou camp tent for outdoor explor and camp adventur
Mindfulness Meditation App for Inner Peace and Well-Being,Yes,1,mind medit app for inner peac and well-b
Aromatic Herbal Incense Set for Home Relaxation and Aromatherapy,No,0,aromat herbal incens set for home relax and aromatherapi
Professional Culinary Knife Set for Culinary Enthusiasts,Yes,1,profession culinari knife set for culinari enthusiast
Star Wars Action Figures Collector's Set for Fans and Collectors,Yes,1,star war action figur collector 's set for fan and collector
Unique DIY Birdhouse Kit for Birdwatching and Home Decor,Yes,1,uniqu diy birdhous kit for birdwatch and home decor
Immersive Detective Board Game for Mystery Enthusiasts and Game Nights,Yes,1,immers detect board game for mysteri enthusiast and game night
Home Brewing Kit for Craft Beer Enthusiasts and Homebrewing Adventures,No,0,home brew kit for craft beer enthusiast and homebrew adventur
Interactive Cooking Class Gift Certificate for Culinary Experiences,Yes,1,interact cook class gift certif for culinari experi
Sushi Making Kit for Homemade Sushi Delights and Japanese Cuisine,Yes,1,sushi make kit for homemad sushi delight and japanes cuisin
Artistic Tarot Card Deck for Spiritual Exploration and Divination,Yes,1,artist tarot card deck for spiritu explor and divin
Antique-Style Pistol Reproduction for Historical Collectors,No,0,antique-styl pistol reproduct for histor collector
Glass Blowing Workshop Experience for Creative Expression and Artistry,Yes,1,glass blow workshop experi for creativ express and artistri
Insightful Artificial Intelligence Book for Tech Enthusiasts and Developers,Yes,1,insight artifici intellig book for tech enthusiast and develop
Premium Home Exercise Bike for Fitness Enthusiasts and Cardio Workouts,Yes,1,premium home exercis bike for fit enthusiast and cardio workout
Spectacular Fireworks Kit for Celebrations and Festive Occasions,No,0,spectacular firework kit for celebr and festiv occas
Collectible Sword Replica for History Buffs and Collectors,Yes,1,collect sword replica for histori buff and collector
Glow-in-the-Dark Body Paint Set for Creative Events and Celebrations,No,0,glow-in-the-dark bodi paint set for creativ event and celebr
Professional-Grade Basketball Hoop for Backyard Fun and Athletic Enthusiasts,Yes,1,professional-grad basketbal hoop for backyard fun and athlet enthusiast
Complete Pet First Aid Kit for Pet Owners and Animal Lovers,Yes,1,complet pet first aid kit for pet owner and anim lover
